"setting","scenario","n_r","n_o","calibration","variant","rho","gamma","kappa","treated_nuisance","method","target","interval_method","attempted","successful","fit_failures","unavailable","target_unavailable","interval_attempted","interval_successful","bootstrap_draws_attempted","bootstrap_draws_successful","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","mean_width","width_mcse","width_ratio","width_ratio_mcse","width_difference","width_difference_mcse","ise_difference","ise_difference_mcse","integrated_rmse_ratio","integrated_rmse_ratio_mcse","ise_increase_frequency","width_increase_frequency","variance_ratio","variance_ratio_mcse","control_loss_reduction","control_loss_reduction_mcse","pseudo_variance","control_loss","imputation_mse","imputation_mse_mcse","imputation_r_squared","imputation_r_squared_mcse","mean_embed_dim","coverage_scope"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0234026127378972,0.013542598656412,0.192469935258268,0.0108716124542108,,,,,,,,,-0.0284292705061843,0.00408798837509074,0.828504403492297,0.0209680896528881,0.295,,0.821737748499435,0.00390017306280625,0.360534553060167,0.012345129790709,4.32315846096978,1.03868044800836,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0089030422718599,0.0104435500421814,0.147593170305812,0.00825363339856817,,,,,,,,,-0.0284292705061843,0.00408798837509074,0.828504403492297,0.0209680896528881,0.295,,0.821737748499435,0.00390017306280625,0.360534553060167,0.012345129790709,4.32315846096978,1.03868044800836,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00559652819417519,0.012652906927066,0.178578934410312,0.00966229040856729,,,,,,,,,-0.0284292705061843,0.00408798837509074,0.828504403492297,0.0209680896528881,0.295,,0.821737748499435,0.00390017306280625,0.360534553060167,0.012345129790709,4.32315846096978,1.03868044800836,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.24946130338045,0.00844170159131097,,,,,,,,,-0.0284292705061843,0.00408798837509074,0.828504403492297,0.0209680896528881,0.295,,0.821737748499435,0.00390017306280625,0.360534553060167,0.012345129790709,4.32315846096978,1.03868044800836,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00696789417696042,0.0141764916660395,0.200105376801228,0.0107221728149888,,,,,,,,,-0.0284292705061843,0.00408798837509074,0.828504403492297,0.0209680896528881,0.295,,0.821737748499435,0.00390017306280625,0.360534553060167,0.012345129790709,4.32315846096978,1.03868044800836,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0247739787206793,0.0153512465029492,0.217968445173426,0.0128257162057455,,,,,,,,,-0.0284292705061843,0.00408798837509074,0.828504403492297,0.0209680896528881,0.295,,0.821737748499435,0.00390017306280625,0.360534553060167,0.012345129790709,4.32315846096978,1.03868044800836,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","A","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00890304227185945,0.0104435500421814,0.147593170305812,0.00825363339856816,,,,,,,,,-0.0284292705061843,0.00408798837509074,0.828504403492297,0.0209680896528881,0.295,,0.821737748499435,0.00390017306280625,0.360534553060167,0.012345129790709,4.32315846096978,1.03868044800836,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0230699438677477,0.0160795091726091,0.227999549870681,0.0128666561470748,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0142050182419754,0.0116442502711499,0.164875428291521,0.00814422191145472,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00534009261620534,0.0153528564679222,0.216644516968118,0.0113701784608219,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.301098343387102,0.0095450910583367,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0042449856621707,0.0171603893996125,0.242114299057681,0.0131072036154434,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0241650508217792,0.0180955651952098,0.256410600694087,0.0155480954362924,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_intercept",1,200,2000,"intercept","nonprognostic",0,1,0,"dictionary","racer","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.014205018241975,0.0116442502711499,0.164875428291521,0.00814422191145471,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","A","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0243181550133932,0.0134798280781952,0.191705033584874,0.0109256496931551,,,,,,,,,-0.0280594203813995,0.00390250536202542,0.830962734622827,0.0200831118033826,0.3,,0.827483223860791,0.00376034896195919,0.345116101074409,0.0121225630180495,4.35418489535318,1.05409889999412,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","A","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00907388548922921,0.0103713564630984,0.146587098135946,0.00823151988277826,,,,,,,,,-0.0280594203813995,0.00390250536202542,0.830962734622827,0.0200831118033826,0.3,,0.827483223860791,0.00376034896195919,0.345116101074409,0.0121225630180495,4.35418489535318,1.05409889999412,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","A","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00617038403493259,0.0127776502527063,0.180356520506621,0.00991383166088047,,,,,,,,,-0.0280594203813995,0.00390250536202542,0.830962734622827,0.0200831118033826,0.3,,0.827483223860791,0.00376034896195919,0.345116101074409,0.0121225630180495,4.35418489535318,1.05409889999412,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","A","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.250201502811349,0.00857694590850804,,,,,,,,,-0.0280594203813995,0.00390250536202542,0.830962734622827,0.0200831118033826,0.3,,0.827483223860791,0.00376034896195919,0.345116101074409,0.0121225630180495,4.35418489535318,1.05409889999412,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","A","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,-0.00777940657993621,0.0143453601381091,0.202515681633927,0.010866086557071,,,,,,,,,-0.0280594203813995,0.00390250536202542,0.830962734622827,0.0200831118033826,0.3,,0.827483223860791,0.00376034896195919,0.345116101074409,0.0121225630180495,4.35418489535318,1.05409889999412,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","A","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0259271775583937,0.0153706176867663,0.218373854347581,0.0129712278119223,,,,,,,,,-0.0280594203813995,0.00390250536202542,0.830962734622827,0.0200831118033826,0.3,,0.827483223860791,0.00376034896195919,0.345116101074409,0.0121225630180495,4.35418489535318,1.05409889999412,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","A","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00907388548922875,0.0103713564630984,0.146587098135946,0.00823151988277825,,,,,,,,,-0.0280594203813995,0.00390250536202542,0.830962734622827,0.0200831118033826,0.3,,0.827483223860791,0.00376034896195919,0.345116101074409,0.0121225630180495,4.35418489535318,1.05409889999412,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","racer","above_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0230699438677477,0.0160795091726091,0.227999549870681,0.0128666561470748,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","racer","average","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0142050182419754,0.0116442502711499,0.164875428291521,0.00814422191145472,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","racer","below_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.00534009261620534,0.0153528564679222,0.216644516968118,0.0113701784608219,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","racer","integrated","not computed (B = 0)",200,200,0,0,0,0,0,0,0,,,0.301098343387102,0.0095450910583367,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","racer","profile_minus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0042449856621707,0.0171603893996125,0.242114299057681,0.0131072036154434,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","racer","profile_plus1","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.0241650508217792,0.0180955651952098,0.256410600694087,0.0155480954362924,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
"s1_n200_nonprognostic_rho0_g1_k0_dictionary_lasso",1,200,2000,"lasso","nonprognostic",0,1,0,"dictionary","racer","profile_zero","not computed (B = 0)",200,200,0,0,0,0,0,0,0,0.014205018241975,0.0116442502711499,0.164875428291521,0.00814422191145471,,,,,,,,,0,0,1,0,0,,1,0,0,0,5.27788434899452,1.39921500106853,,,,,,"conditional on successful intervals"
